Show_ID,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
s11,Movie,Title 11,Rachel Adams,"Millie Bobby Brown, Aamir Khan",United Kingdom,18-Mar-2021,1991,R,177 min,"Adventure, Romance, Action","A adventure, romance, action movie available on Netflix."
s12,Movie,Title 12,Ava Johnson,"Scarlett Johansson, Aamir Khan",France,9-Nov-2017,2006,PG-13,141 min,"Crime, Adventure","A crime, adventure movie available on Netflix."
s13,TV Show,Title 13,James Lewis,"Millie Bobby Brown, Zendaya, Alia Bhatt, Scarlett Johansson",South Korea,14-Mar-2023,1996,R,7 Seasons,"Documentary, Adventure, Comedy","A documentary, adventure, comedy tv show available on Netflix."
s14,Movie,Title 14,Sara Davis,"Aamir Khan, Emma Stone, Chris Evans, Robert De Niro",Mexico,10-Mar-2021,1999,TV-MA,84 min,"Sci-Fi, Thriller","A sci-fi, thriller movie available on Netflix."
s15,Movie,Title 15,Sara Davis,"Millie Bobby Brown, Aamir Khan",Japan,9-Jul-2019,1991,PG,100 min,Drama,A drama movie available on Netflix.
s16,TV Show,Title 16,Sara Davis,"Chris Evans, Scarlett Johansson, Ryan Reynolds, Robert De Niro",Germany,25-Feb-2017,2015,R,8 Seasons,"Romance, Comedy","A romance, comedy tv show available on Netflix."
s17,TV Show,Title 17,Ava Johnson,"Ryan Reynolds, Emma Stone, Zendaya, Chris Evans",Spain,8-Aug-2021,1996,PG,2 Seasons,"Documentary, Sci-Fi","A documentary, sci-fi tv show available on Netflix."
s18,Movie,Title 18,Ava Johnson,"Robert De Niro, Alia Bhatt",France,3-Oct-2015,2004,TV-PG,106 min,Drama,A drama movie available on Netflix.
s19,Movie,Title 19,Ava Johnson,"Ryan Reynolds, Chris Evans, Emma Stone",United Kingdom,11-Apr-2016,1998,G,85 min,"Documentary, Romance, Drama","A documentary, romance, drama movie available on Netflix."
s20,Movie,Title 20,David Wilson,"Chris Evans, Tom Holland, Millie Bobby Brown",Germany,23-Mar-2016,1999,R,135 min,"Romance, Comedy","A romance, comedy movie available on Netflix."
s21,Movie,Title 21,Ava Johnson,"Ryan Reynolds, Chris Evans, Scarlett Johansson, Robert De Niro",Japan,13-Jul-2024,2014,G,177 min,"Crime, Horror","A crime, horror movie available on Netflix."
s22,Movie,Title 22,Sara Davis,"Millie Bobby Brown, Zendaya, Robert De Niro",Mexico,17-Jun-2016,2000,R,113 min,Drama,A drama movie available on Netflix.
s23,Movie,Title 23,John Smith,"Millie Bobby Brown, Scarlett Johansson",South Korea,11-Apr-2015,2000,PG-13,168 min,"Drama, Sci-Fi","A drama, sci-fi movie available on Netflix."
s24,TV Show,Title 24,David Wilson,"Zendaya, Ryan Reynolds, Millie Bobby Brown, Alia Bhatt",South Korea,13-Aug-2015,2005,TV-MA,4 Seasons,Horror,A horror tv show available on Netflix.
s25,TV Show,Title 25,Michael Brown,"Scarlett Johansson, Tom Holland, Ryan Reynolds, Robert De Niro",Japan,19-Sep-2015,2017,TV-PG,2 Seasons,Horror,A horror tv show available on Netflix.
s26,TV Show,Title 26,Ava Johnson,"Tom Holland, Millie Bobby Brown, Scarlett Johansson, Chris Evans",United Kingdom,21-Feb-2024,2022,PG,6 Seasons,Documentary,A documentary tv show available on Netflix.
s27,Movie,Title 27,Emily Clark,"Tom Holland, Emma Stone, Ryan Reynolds",South Korea,22-Dec-2024,1993,PG,95 min,"Romance, Drama, Sci-Fi","A romance, drama, sci-fi movie available on Netflix."
s28,TV Show,Title 28,Emily Clark,"Ryan Reynolds, Chris Evans, Zendaya",Japan,22-Feb-2018,2005,PG,8 Seasons,"Thriller, Crime","A thriller, crime tv show available on Netflix."
s29,TV Show,Title 29,John Smith,"Millie Bobby Brown, Ryan Reynolds",Japan,9-Jan-2023,2009,PG,4 Seasons,"Documentary, Horror, Drama","A documentary, horror, drama tv show available on Netflix."
s30,Movie,Title 30,James Lewis,"Alia Bhatt, Zendaya, Millie Bobby Brown, Robert De Niro",Japan,19-Jan-2022,2007,TV-PG,117 min,Horror,A horror movie available on Netflix.
s31,TV Show,Title 31,James Lewis,"Alia Bhatt, Ryan Reynolds, Zendaya, Emma Stone",India,16-Mar-2022,2012,G,3 Seasons,"Thriller, Documentary, Crime","A thriller, documentary, crime tv show available on Netflix."
s32,TV Show,Title 32,Ava Johnson,"Ryan Reynolds, Millie Bobby Brown, Alia Bhatt",India,24-Jan-2023,1997,R,8 Seasons,Comedy,A comedy tv show available on Netflix.
s33,Movie,Title 33,James Lewis,"Robert De Niro, Ryan Reynolds, Zendaya",Japan,25-Feb-2023,1998,PG-13,99 min,Adventure,A adventure movie available on Netflix.
s34,Movie,Title 34,John Smith,"Ryan Reynolds, Robert De Niro, Scarlett Johansson, Emma Stone",South Korea,23-Nov-2016,1998,R,103 min,Adventure,A adventure movie available on Netflix.
s35,Movie,Title 35,Michael Brown,"Chris Evans, Robert De Niro",France,7-Feb-2020,2011,R,117 min,Romance,A romance movie available on Netflix.
s36,TV Show,Title 36,Michael Brown,"Scarlett Johansson, Ryan Reynolds, Chris Evans",Germany,18-Feb-2019,2022,TV-14,5 Seasons,"Horror, Action, Comedy","A horror, action, comedy tv show available on Netflix."
s37,TV Show,Title 37,James Lewis,"Robert De Niro, Aamir Khan, Tom Holland",France,18-Dec-2018,2008,R,1 Seasons,"Action, Horror, Adventure","A action, horror, adventure tv show available on Netflix."
s38,TV Show,Title 38,Ava Johnson,"Chris Evans, Emma Stone, Tom Holland, Aamir Khan",South Korea,18-Mar-2020,2012,R,5 Seasons,Sci-Fi,A sci-fi tv show available on Netflix.
s39,TV Show,Title 39,Michael Brown,"Millie Bobby Brown, Emma Stone",Japan,12-Jan-2018,1993,TV-14,1 Seasons,"Thriller, Romance","A thriller, romance tv show available on Netflix."
s40,TV Show,Title 40,Ava Johnson,"Tom Holland, Ryan Reynolds, Zendaya",Mexico,4-Jul-2017,1990,R,4 Seasons,Sci-Fi,A sci-fi tv show available on Netflix.
s41,TV Show,Title 41,John Smith,"Alia Bhatt, Tom Holland, Scarlett Johansson",Canada,9-Nov-2019,1993,PG,2 Seasons,"Adventure, Crime","A adventure, crime tv show available on Netflix."
s42,TV Show,Title 42,James Lewis,"Emma Stone, Chris Evans, Zendaya, Aamir Khan",Mexico,9-Mar-2015,1997,PG-13,4 Seasons,"Action, Crime, Comedy","A action, crime, comedy tv show available on Netflix."
s43,Movie,Title 43,Sara Davis,"Millie Bobby Brown, Chris Evans, Aamir Khan",Japan,15-Sep-2023,1994,PG-13,164 min,Action,A action movie available on Netflix.
s44,TV Show,Title 44,Ava Johnson,"Scarlett Johansson, Millie Bobby Brown, Emma Stone, Ryan Reynolds",United Kingdom,2-Aug-2018,2003,R,8 Seasons,Documentary,A documentary tv show available on Netflix.
s45,TV Show,Title 45,Sara Davis,"Aamir Khan, Ryan Reynolds",India,20-Mar-2023,1996,PG,4 Seasons,Sci-Fi,A sci-fi tv show available on Netflix.
s46,TV Show,Title 46,John Smith,"Ryan Reynolds, Emma Stone, Tom Holland, Millie Bobby Brown",South Korea,4-Apr-2019,2022,TV-PG,2 Seasons,"Comedy, Drama, Sci-Fi","A comedy, drama, sci-fi tv show available on Netflix."
s47,TV Show,Title 47,Emily Clark,"Robert De Niro, Ryan Reynolds, Alia Bhatt, Tom Holland",Germany,16-Oct-2020,2021,TV-MA,7 Seasons,"Romance, Thriller","A romance, thriller tv show available on Netflix."
s48,Movie,Title 48,David Wilson,"Millie Bobby Brown, Aamir Khan, Ryan Reynolds, Zendaya",United Kingdom,4-Oct-2019,2004,TV-14,68 min,"Romance, Documentary, Drama","A romance, documentary, drama movie available on Netflix."
s49,TV Show,Title 49,James Lewis,"Scarlett Johansson, Aamir Khan, Zendaya, Tom Holland",Spain,8-Oct-2015,1994,TV-14,8 Seasons,Thriller,A thriller tv show available on Netflix.
s50,Movie,Title 50,John Smith,"Chris Evans, Tom Holland, Robert De Niro",Canada,20-Nov-2020,2023,TV-MA,145 min,"Crime, Drama","A crime, drama movie available on Netflix."
s51,TV Show,Title 51,Emily Clark,"Zendaya, Robert De Niro, Tom Holland, Alia Bhatt",Canada,22-Dec-2018,2013,TV-14,5 Seasons,"Thriller, Sci-Fi","A thriller, sci-fi tv show available on Netflix."
s52,TV Show,Title 52,Sara Davis,"Scarlett Johansson, Zendaya, Chris Evans, Alia Bhatt",South Korea,6-Oct-2016,1991,TV-MA,8 Seasons,"Drama, Action","A drama, action tv show available on Netflix."
s53,TV Show,Title 53,John Smith,"Emma Stone, Alia Bhatt, Tom Holland",Mexico,20-Jun-2022,2001,PG-13,4 Seasons,Horror,A horror tv show available on Netflix.
s54,TV Show,Title 54,Rachel Adams,"Ryan Reynolds, Millie Bobby Brown, Aamir Khan, Robert De Niro",United States,12-May-2015,2014,PG-13,5 Seasons,"Thriller, Documentary, Horror","A thriller, documentary, horror tv show available on Netflix."
s55,Movie,Title 55,John Smith,"Ryan Reynolds, Emma Stone, Aamir Khan",India,17-Nov-2022,1990,G,123 min,"Horror, Adventure","A horror, adventure movie available on Netflix."
s56,Movie,Title 56,John Smith,"Aamir Khan, Ryan Reynolds, Chris Evans",Germany,16-Jun-2021,1995,G,131 min,Action,A action movie available on Netflix.
s57,TV Show,Title 57,John Smith,"Aamir Khan, Emma Stone, Alia Bhatt, Robert De Niro",Germany,1-Dec-2018,2022,TV-14,7 Seasons,Sci-Fi,A sci-fi tv show available on Netflix.
s58,Movie,Title 58,Rachel Adams,"Aamir Khan, Robert De Niro",Mexico,25-Nov-2022,2008,TV-14,122 min,"Comedy, Thriller, Adventure","A comedy, thriller, adventure movie available on Netflix."
s59,TV Show,Title 59,Rachel Adams,"Robert De Niro, Ryan Reynolds",Canada,21-Jan-2017,2024,TV-MA,6 Seasons,"Drama, Romance, Action","A drama, romance, action tv show available on Netflix."
s60,Movie,Title 60,Ava Johnson,"Aamir Khan, Tom Holland",India,8-Nov-2024,2016,PG,71 min,"Documentary, Comedy","A documentary, comedy movie available on Netflix."
s61,TV Show,Title 61,James Lewis,"Tom Holland, Scarlett Johansson, Robert De Niro, Alia Bhatt",United Kingdom,19-Feb-2024,2021,G,5 Seasons,"Sci-Fi, Adventure","A sci-fi, adventure tv show available on Netflix."
s62,TV Show,Title 62,Emily Clark,"Alia Bhatt, Scarlett Johansson, Millie Bobby Brown",United States,2-Oct-2021,1997,TV-MA,4 Seasons,"Comedy, Thriller, Sci-Fi","A comedy, thriller, sci-fi tv show available on Netflix."
s63,TV Show,Title 63,Ava Johnson,"Scarlett Johansson, Robert De Niro",India,13-Jan-2018,2007,PG-13,2 Seasons,Drama,A drama tv show available on Netflix.
s64,Movie,Title 64,Michael Brown,"Robert De Niro, Alia Bhatt",Japan,1-Sep-2024,2017,TV-MA,83 min,"Crime, Comedy, Action","A crime, comedy, action movie available on Netflix."
s65,TV Show,Title 65,Emily Clark,"Robert De Niro, Alia Bhatt, Chris Evans",United States,25-Aug-2017,2004,G,3 Seasons,Documentary,A documentary tv show available on Netflix.
s66,Movie,Title 66,Ava Johnson,"Scarlett Johansson, Tom Holland, Emma Stone, Aamir Khan",Mexico,5-May-2016,2011,PG-13,158 min,"Comedy, Adventure","A comedy, adventure movie available on Netflix."
s67,TV Show,Title 67,Sara Davis,"Emma Stone, Scarlett Johansson, Millie Bobby Brown, Alia Bhatt",India,12-Mar-2015,1993,PG,8 Seasons,Documentary,A documentary tv show available on Netflix.
s68,TV Show,Title 68,Ava Johnson,"Emma Stone, Aamir Khan",Mexico,22-Oct-2023,2003,R,7 Seasons,"Sci-Fi, Romance","A sci-fi, romance tv show available on Netflix."
s69,Movie,Title 69,Michael Brown,"Aamir Khan, Tom Holland, Scarlett Johansson",South Korea,3-Mar-2018,2020,G,100 min,Drama,A drama movie available on Netflix.
s70,Movie,Title 70,Michael Brown,"Millie Bobby Brown, Emma Stone, Robert De Niro",United States,15-Oct-2016,2006,PG,76 min,Thriller,A thriller movie available on Netflix.
s71,Movie,Title 71,John Smith,"Chris Evans, Zendaya, Emma Stone",United Kingdom,10-Aug-2024,2004,TV-PG,175 min,Horror,A horror movie available on Netflix.
s72,TV Show,Title 72,David Wilson,"Alia Bhatt, Zendaya, Robert De Niro, Scarlett Johansson",France,27-Feb-2019,2002,R,2 Seasons,Documentary,A documentary tv show available on Netflix.
s73,TV Show,Title 73,Rachel Adams,"Chris Evans, Emma Stone, Scarlett Johansson, Robert De Niro",France,15-Aug-2020,2024,TV-MA,8 Seasons,Crime,A crime tv show available on Netflix.
s74,TV Show,Title 74,David Wilson,"Aamir Khan, Robert De Niro, Millie Bobby Brown",France,2-Apr-2016,2000,TV-14,5 Seasons,"Adventure, Drama","A adventure, drama tv show available on Netflix."
s75,TV Show,Title 75,Emily Clark,"Scarlett Johansson, Millie Bobby Brown",Japan,26-May-2021,2022,TV-MA,4 Seasons,"Crime, Horror, Sci-Fi","A crime, horror, sci-fi tv show available on Netflix."
s76,Movie,Title 76,Rachel Adams,"Ryan Reynolds, Aamir Khan",Japan,3-Jul-2017,2016,G,134 min,Comedy,A comedy movie available on Netflix.
s77,Movie,Title 77,James Lewis,"Emma Stone, Tom Holland, Scarlett Johansson",India,10-Feb-2019,1999,PG,81 min,"Comedy, Action, Horror","A comedy, action, horror movie available on Netflix."
s78,Movie,Title 78,Ava Johnson,"Chris Evans, Alia Bhatt, Ryan Reynolds, Tom Holland",India,18-Mar-2022,2018,G,153 min,"Drama, Thriller","A drama, thriller movie available on Netflix."
s79,TV Show,Title 79,Rachel Adams,"Zendaya, Ryan Reynolds",United Kingdom,9-Aug-2018,1998,TV-14,6 Seasons,"Crime, Comedy, Sci-Fi","A crime, comedy, sci-fi tv show available on Netflix."
s80,Movie,Title 80,Sara Davis,"Tom Holland, Alia Bhatt, Millie Bobby Brown",Canada,6-Jan-2019,2019,TV-PG,92 min,"Documentary, Romance, Comedy","A documentary, romance, comedy movie available on Netflix."
s81,TV Show,Title 81,Michael Brown,"Millie Bobby Brown, Alia Bhatt, Emma Stone, Ryan Reynolds",Spain,17-Jun-2020,1997,R,2 Seasons,Documentary,A documentary tv show available on Netflix.
s82,Movie,Title 82,James Lewis,"Emma Stone, Chris Evans, Ryan Reynolds",Mexico,21-Jan-2015,2010,PG-13,146 min,Romance,A romance movie available on Netflix.
s83,TV Show,Title 83,James Lewis,"Alia Bhatt, Millie Bobby Brown, Scarlett Johansson, Emma Stone",United States,22-Aug-2024,2007,R,1 Seasons,"Documentary, Adventure","A documentary, adventure tv show available on Netflix."
s84,TV Show,Title 84,Rachel Adams,"Aamir Khan, Alia Bhatt, Emma Stone, Robert De Niro",Spain,17-Jan-2015,1994,TV-14,5 Seasons,"Documentary, Action, Sci-Fi","A documentary, action, sci-fi tv show available on Netflix."
s85,Movie,Title 85,David Wilson,"Aamir Khan, Alia Bhatt, Tom Holland, Emma Stone",India,15-Jul-2016,1999,PG,137 min,"Sci-Fi, Crime","A sci-fi, crime movie available on Netflix."
s86,Movie,Title 86,David Wilson,"Aamir Khan, Zendaya, Tom Holland, Emma Stone",Mexico,17-Aug-2015,2018,PG-13,126 min,"Comedy, Drama","A comedy, drama movie available on Netflix."
s87,TV Show,Title 87,James Lewis,"Aamir Khan, Millie Bobby Brown, Tom Holland",India,8-Nov-2017,2016,PG-13,8 Seasons,"Horror, Thriller, Crime","A horror, thriller, crime tv show available on Netflix."
s88,TV Show,Title 88,Michael Brown,"Robert De Niro, Chris Evans, Ryan Reynolds, Scarlett Johansson",France,12-Mar-2018,2008,PG,1 Seasons,"Action, Romance, Drama","A action, romance, drama tv show available on Netflix."
s89,Movie,Title 89,Sara Davis,"Millie Bobby Brown, Scarlett Johansson, Alia Bhatt",Canada,8-Feb-2017,2019,TV-MA,177 min,Crime,A crime movie available on Netflix.
s90,Movie,Title 90,James Lewis,"Alia Bhatt, Robert De Niro, Tom Holland, Millie Bobby Brown",Japan,8-Jan-2020,1993,PG,98 min,"Documentary, Thriller","A documentary, thriller movie available on Netflix."
s91,TV Show,Title 91,Rachel Adams,"Chris Evans, Tom Holland",South Korea,19-Jun-2019,2010,TV-MA,2 Seasons,"Horror, Thriller","A horror, thriller tv show available on Netflix."
s92,TV Show,Title 92,Michael Brown,"Tom Holland, Millie Bobby Brown, Scarlett Johansson, Zendaya",Germany,15-Nov-2018,2021,PG,2 Seasons,"Horror, Drama","A horror, drama tv show available on Netflix."
s93,Movie,Title 93,Sara Davis,"Scarlett Johansson, Zendaya",South Korea,1-May-2019,2007,TV-MA,149 min,"Action, Crime, Romance","A action, crime, romance movie available on Netflix."
s94,Movie,Title 94,Rachel Adams,"Emma Stone, Tom Holland",United States,3-Sep-2019,2012,TV-PG,119 min,"Thriller, Drama, Romance","A thriller, drama, romance movie available on Netflix."
s95,TV Show,Title 95,Michael Brown,"Millie Bobby Brown, Emma Stone, Chris Evans",Germany,7-Nov-2016,2016,G,2 Seasons,"Crime, Horror","A crime, horror tv show available on Netflix."
s96,Movie,Title 96,John Smith,"Ryan Reynolds, Aamir Khan",Germany,12-Jun-2020,2023,TV-MA,149 min,Comedy,A comedy movie available on Netflix.
s97,TV Show,Title 97,Rachel Adams,"Ryan Reynolds, Alia Bhatt, Robert De Niro",Mexico,8-Mar-2023,2018,TV-PG,1 Seasons,Sci-Fi,A sci-fi tv show available on Netflix.
s98,TV Show,Title 98,David Wilson,"Emma Stone, Zendaya",Mexico,21-Nov-2024,2020,G,8 Seasons,"Horror, Comedy","A horror, comedy tv show available on Netflix."
s99,Movie,Title 99,Sara Davis,"Ryan Reynolds, Aamir Khan, Millie Bobby Brown, Chris Evans",Japan,12-Dec-2023,2013,R,158 min,"Horror, Action, Drama","A horror, action, drama movie available on Netflix."
s100,Movie,Title 100,Sara Davis,"Zendaya, Alia Bhatt, Tom Holland",India,11-Dec-2022,2020,TV-MA,177 min,"Crime, Drama","A crime, drama movie available on Netflix."
s101,Movie,Title 101,David Wilson,"Emma Stone, Alia Bhatt, Millie Bobby Brown",Spain,9-Feb-2018,2018,PG,93 min,Comedy,A comedy movie available on Netflix.
s102,Movie,Title 102,David Wilson,"Emma Stone, Zendaya",United States,17-Sep-2016,1995,TV-MA,129 min,"Thriller, Action, Romance","A thriller, action, romance movie available on Netflix."
s103,Movie,Title 103,James Lewis,"Ryan Reynolds, Millie Bobby Brown, Alia Bhatt",Japan,7-Feb-2017,2019,R,64 min,"Comedy, Thriller, Action","A comedy, thriller, action movie available on Netflix."
s104,Movie,Title 104,David Wilson,"Zendaya, Alia Bhatt, Ryan Reynolds",Mexico,21-Jan-2020,2020,PG-13,104 min,"Adventure, Drama, Romance","A adventure, drama, romance movie available on Netflix."
s105,Movie,Title 105,Ava Johnson,"Zendaya, Robert De Niro, Alia Bhatt, Emma Stone",France,21-Sep-2024,1991,G,126 min,"Comedy, Drama, Adventure","A comedy, drama, adventure movie available on Netflix."
s106,Movie,Title 106,Rachel Adams,"Tom Holland, Robert De Niro",Mexico,2-Apr-2018,1992,PG-13,163 min,"Action, Documentary, Comedy","A action, documentary, comedy movie available on Netflix."
s107,Movie,Title 107,Sara Davis,"Zendaya, Robert De Niro, Scarlett Johansson, Chris Evans",United Kingdom,23-Nov-2016,1997,G,60 min,"Romance, Sci-Fi, Comedy","A romance, sci-fi, comedy movie available on Netflix."
s108,TV Show,Title 108,Emily Clark,"Chris Evans, Tom Holland, Emma Stone",South Korea,6-Jan-2019,1999,G,5 Seasons,"Sci-Fi, Action, Documentary","A sci-fi, action, documentary tv show available on Netflix."
s109,Movie,Title 109,Rachel Adams,"Chris Evans, Ryan Reynolds, Emma Stone",Japan,14-Dec-2024,2014,TV-14,71 min,"Romance, Action, Drama","A romance, action, drama movie available on Netflix."
s110,Movie,Title 110,John Smith,"Ryan Reynolds, Zendaya",United Kingdom,17-Oct-2019,2019,TV-MA,71 min,"Sci-Fi, Drama, Romance","A sci-fi, drama, romance movie available on Netflix."
s111,Movie,Title 111,Sara Davis,"Alia Bhatt, Zendaya",Japan,23-May-2020,2010,PG,112 min,"Documentary, Thriller, Comedy","A documentary, thriller, comedy movie available on Netflix."
s112,Movie,Title 112,Emily Clark,"Chris Evans, Aamir Khan",South Korea,7-May-2017,2003,R,109 min,"Comedy, Crime, Drama","A comedy, crime, drama movie available on Netflix."
s113,TV Show,Title 113,Sara Davis,"Chris Evans, Emma Stone, Alia Bhatt",France,9-Nov-2023,2015,TV-MA,7 Seasons,Romance,A romance tv show available on Netflix.
s114,Movie,Title 114,James Lewis,"Aamir Khan, Ryan Reynolds, Robert De Niro, Emma Stone",South Korea,7-Aug-2022,2018,PG,142 min,Adventure,A adventure movie available on Netflix.
s115,Movie,Title 115,Rachel Adams,"Scarlett Johansson, Ryan Reynolds",Spain,13-Jul-2022,2003,TV-PG,130 min,"Adventure, Crime, Horror","A adventure, crime, horror movie available on Netflix."
s116,TV Show,Title 116,Emily Clark,"Aamir Khan, Robert De Niro, Emma Stone",South Korea,26-Sep-2015,2000,PG-13,6 Seasons,"Romance, Crime","A romance, crime tv show available on Netflix."
s117,TV Show,Title 117,Rachel Adams,"Emma Stone, Millie Bobby Brown, Robert De Niro",United States,18-Feb-2020,2005,TV-14,8 Seasons,"Sci-Fi, Horror, Drama","A sci-fi, horror, drama tv show available on Netflix."
s118,TV Show,Title 118,Ava Johnson,"Robert De Niro, Tom Holland, Alia Bhatt, Chris Evans",Mexico,4-Apr-2022,2014,R,8 Seasons,"Horror, Crime, Romance","A horror, crime, romance tv show available on Netflix."
s119,Movie,Title 119,Emily Clark,"Tom Holland, Millie Bobby Brown, Robert De Niro, Chris Evans",United Kingdom,25-Nov-2020,2011,G,62 min,"Horror, Crime","A horror, crime movie available on Netflix."
s120,TV Show,Title 120,Rachel Adams,"Alia Bhatt, Scarlett Johansson, Ryan Reynolds",France,17-Jul-2020,2008,TV-PG,8 Seasons,"Adventure, Action","A adventure, action tv show available on Netflix."
s121,TV Show,Title 121,Sara Davis,"Alia Bhatt, Robert De Niro, Aamir Khan",Mexico,12-Mar-2020,1997,R,7 Seasons,"Drama, Crime, Sci-Fi","A drama, crime, sci-fi tv show available on Netflix."
s122,TV Show,Title 122,James Lewis,"Robert De Niro, Emma Stone, Aamir Khan, Scarlett Johansson",Canada,11-Jul-2021,2010,TV-PG,5 Seasons,"Romance, Horror, Action","A romance, horror, action tv show available on Netflix."
s123,Movie,Title 123,Ava Johnson,"Millie Bobby Brown, Ryan Reynolds",United States,7-Mar-2021,2018,PG-13,111 min,"Drama, Romance","A drama, romance movie available on Netflix."
s124,Movie,Title 124,David Wilson,"Zendaya, Alia Bhatt, Millie Bobby Brown, Emma Stone",India,20-Nov-2020,1992,PG-13,151 min,Romance,A romance movie available on Netflix.
s125,TV Show,Title 125,John Smith,"Alia Bhatt, Aamir Khan, Chris Evans, Millie Bobby Brown",United States,10-Oct-2016,2013,TV-PG,8 Seasons,Thriller,A thriller tv show available on Netflix.
s126,Movie,Title 126,David Wilson,"Emma Stone, Zendaya, Tom Holland",Spain,9-Mar-2023,2017,PG-13,98 min,"Crime, Drama","A crime, drama movie available on Netflix."
s127,Movie,Title 127,David Wilson,"Alia Bhatt, Ryan Reynolds",India,15-May-2015,2007,PG,114 min,"Comedy, Action","A comedy, action movie available on Netflix."
s128,Movie,Title 128,Sara Davis,"Ryan Reynolds, Millie Bobby Brown, Scarlett Johansson",South Korea,17-Jan-2018,2012,TV-PG,116 min,"Thriller, Romance, Adventure","A thriller, romance, adventure movie available on Netflix."
s129,Movie,Title 129,James Lewis,"Tom Holland, Scarlett Johansson",India,22-May-2017,2015,G,93 min,"Romance, Sci-Fi, Action","A romance, sci-fi, action movie available on Netflix."
s130,Movie,Title 130,James Lewis,"Aamir Khan, Emma Stone, Tom Holland",United Kingdom,8-Oct-2015,2008,TV-PG,91 min,Comedy,A comedy movie available on Netflix.
s131,TV Show,Title 131,John Smith,"Aamir Khan, Scarlett Johansson, Emma Stone",Spain,19-Nov-2020,2016,PG-13,2 Seasons,"Romance, Drama, Documentary","A romance, drama, documentary tv show available on Netflix."
s132,Movie,Title 132,David Wilson,"Chris Evans, Millie Bobby Brown, Emma Stone, Zendaya",South Korea,11-Feb-2024,1992,TV-MA,165 min,"Sci-Fi, Adventure","A sci-fi, adventure movie available on Netflix."
s133,Movie,Title 133,Michael Brown,"Millie Bobby Brown, Tom Holland, Emma Stone, Scarlett Johansson",United States,7-Mar-2019,2009,G,160 min,"Comedy, Sci-Fi, Drama","A comedy, sci-fi, drama movie available on Netflix."
s134,Movie,Title 134,Michael Brown,"Emma Stone, Alia Bhatt",Japan,13-Sep-2017,2000,R,144 min,Thriller,A thriller movie available on Netflix.
s135,TV Show,Title 135,James Lewis,"Alia Bhatt, Aamir Khan, Tom Holland",United Kingdom,13-Dec-2024,1999,R,4 Seasons,"Romance, Action, Sci-Fi","A romance, action, sci-fi tv show available on Netflix."
s136,Movie,Title 136,John Smith,"Ryan Reynolds, Zendaya, Chris Evans",United States,16-Dec-2020,2015,TV-PG,82 min,Adventure,A adventure movie available on Netflix.
s137,Movie,Title 137,John Smith,"Robert De Niro, Chris Evans, Emma Stone",Mexico,12-Sep-2018,2001,PG-13,152 min,"Documentary, Thriller","A documentary, thriller movie available on Netflix."
s138,TV Show,Title 138,Ava Johnson,"Tom Holland, Chris Evans, Aamir Khan",Japan,20-Jul-2024,2013,TV-14,5 Seasons,Adventure,A adventure tv show available on Netflix.
s139,Movie,Title 139,Rachel Adams,"Zendaya, Robert De Niro, Alia Bhatt",United Kingdom,12-Feb-2017,2005,TV-MA,104 min,"Documentary, Romance","A documentary, romance movie available on Netflix."
